,salary_low,salary_high
0,20.0,40.0
1,15.0,20.0
2,12.0,16.0
3,15.0,30.0
4,15.0,20.0
5,20.0,30.0
6,25.0,35.0
7,8.0,10.0
8,20.0,30.0
9,10.0,20.0
10,13.0,25.0
11,10.0,20.0
12,10.0,20.0
13,15.0,30.0
14,20.0,40.0
15,15.0,25.0
16,15.0,25.0
17,10.0,15.0
18,18.0,25.0
19,10.0,18.0
20,8.0,12.0
21,15.0,22.0
22,20.0,30.0
23,8.0,12.0
24,12.0,16.0
25,13.0,20.0
26,4.0,8.0
27,13.0,16.0
28,20.0,35.0
29,9.0,14.0
30,15.0,20.0
31,14.0,18.0
32,20.0,30.0
33,8.0,15.0
34,13.0,20.0
35,10.0,17.0
36,12.0,20.0
37,12.0,20.0
38,15.0,25.0
39,8.0,15.0
40,12.0,17.0
41,15.0,20.0
42,9.0,13.0
43,10.0,15.0
44,7.0,10.0
45,16.0,25.0
46,20.0,40.0
47,10.0,12.0
48,15.0,25.0
49,15.0,17.0
50,20.0,30.0
51,6.0,8.0
52,20.0,40.0
53,15.0,30.0
54,14.0,28.0
55,20.0,30.0
56,20.0,40.0
57,15.0,25.0
58,12.0,24.0
59,18.0,35.0
60,6.0,12.0
61,9.0,15.0
62,25.0,40.0
63,15.0,19.0
64,15.0,30.0
65,15.0,25.0
66,15.0,25.0
67,12.0,20.0
68,15.0,25.0
69,15.0,25.0
70,10.0,20.0
71,15.0,25.0
72,10.0,20.0
73,8.0,12.0
74,6.0,10.0
75,6.0,8.0
76,10.0,20.0
77,14.0,17.0
78,10.0,20.0
79,15.0,20.0
80,15.0,30.0
81,10.0,20.0
82,10.0,20.0
83,18.0,36.0
84,20.0,30.0
85,6.0,10.0
86,16.0,20.0
87,20.0,40.0
88,15.0,25.0
89,20.0,40.0
90,15.0,30.0
91,15.0,30.0
92,10.0,15.0
93,25.0,45.0
94,18.0,30.0
95,10.0,15.0
96,20.0,30.0
97,20.0,40.0
98,20.0,40.0
99,20.0,35.0
100,8.0,15.0
101,15.0,25.0
102,20.0,40.0
103,15.0,30.0
104,9.0,18.0
105,18.0,25.0
106,25.0,30.0
107,18.0,36.0
108,20.0,40.0
109,3.0,6.0
110,15.0,20.0
111,12.0,20.0
112,8.0,15.0
113,20.0,40.0
114,10.0,15.0
115,10.0,20.0
116,20.0,40.0
117,12.0,20.0
118,20.0,35.0
119,15.0,30.0
120,25.0,50.0
121,15.0,30.0
122,12.0,20.0
123,15.0,25.0
